source,year,abstract,label
JIP (Jurnal Informatika Polinema) (IndoT5 Parafrase),2014,"untuk mengatasi ketidakkonsistenan, penerapan metode dempster shafer pada sistem pakar digunakan untuk memecahkan masalah seperti yang biasa dilakukan para ahli, nilai kepercayaan atau densitas terbesar menunjukkan hasil diagnosa penyakit diabetes melitus. berdasarkan hasil lab gula darah, umur, jenis kelamin, riwayat keluarga, dan gejala yang dialami, sistem diagnostik ini dapat menjadi alternatif solusi sebagai media konsultasi bagi pengguna untuk mendapatkan informasi kemungkinan tingkat resiko tipe pada penyakit diabetes melitus yang dialami. dengan demikian dapat memberikan alternatif solusi untuk mengatasi ketidak konsistenan.",ai
Sistemasi (Sistem Informasi) UNISI (IndoT5 Parafrase),2014,"pengujian yang dilakukan pada sistem pendukung keputusan ini meliputi sistem pendukung keputusan, dengan melakukan observasi dan wawancara dan pembobotan nilai kriteria spare part, harga, banyak silinder, rpm dan alternatif mesin mitsubishi, yanmar, mesin catterpillar, mesin hino, mesin isuzu, mesin nissan, mesin toyota, berdasarkan hasil pengamatan dan wawancara, dan aplikasi yang dirancang menggunakan bahasa pemrograman vb 6. 0 dan dbms my sql, sehingga menghasilkan satu tujuan atau satu tujuan. -, dll ), untuk, yang bersangkutan.",ai
"SIMETRIS (Jurnal Teknik Mesin, Elektro dan Ilmu Komputer) UMK (IndoT5 Parafrase)",2016,"electronic commerce adalah salah satu dari perkembangan teknologi dan internet, yaitu layanan internet yang digunakan untuk jual-beli secara online, yaitu dengan cara melakukan studi kasus yang menganalisis bagaimana tokoku dapat menjual produknya kepada pelanggan, dengan adanya sistem informasi penjualan elektronik ini dapat membantu tokoku dalam meningkatkan penjualannya. kata kunci e-commerce, online, internet, transfer, elektronik. - e-commerce, online, internet, pertukaran data, sistem pengumpulan data otomatis, dan sistem pengumpulan data otomatis, dan sistem pengumpulan data (eda) ( eda).",ai
JIP (Jurnal Informatika Polinema) (IndoT5 Parafrase),2017,"diperlukan suatu peramalan untuk memprediksi produksi pangan di masa mendatang berdasarkan tahun dengan menggunakan 2 parameter yaitu alpha dan beta, sehingga dapat dianalisa pergerakan tren. produksi pangan yang tidak menentu merupakan masalah bagi badan ketahanan pangan (bkp) provinsi jawa timur dalam menentukan kebijakan masa depan. data tahun 1993-2014 untuk ramalan 2015 menghasilkan nilai parameter alpha 0. 26, sehingga parameter mempengaruhi nilai pe yang dihasilkan pada penelitian ini. (22 pe) pe kecil, yaitu pe pe tinggi, karena tidak menentu. tetapi tidak menentu, pe - pe, sebagai berikut pe tingkat pe pe besar pe dari pe dalam penelitian.",ai
EXPLORE (Jurnal Sistem Informasi dan Telematika) UBL (IndoT5 Parafrase),2016,"( 1 ) kemampuan logika (40), 2) kemampuan bahasa (30) dan 3) kemampuan matematis (20). hasil yang diperoleh dari sistem ini adalah pemeringkatan karyawan, dengan kriteria dan bobot yang dijadikan penilaian perekrutan karyawan, yaitu 1) kemampuan logis ( 40 ).",ai
JIP (Jurnal Informatika Polinema) (IndoT5 Parafrase),2017,"(sistem pendukung keputusan) ini digunakan sebagai alat untuk perlombaan pemilihan guru berprestasi dan ditujukan kepada dinas pendidikan kota malang, di mana pada proses perhitungannya masih menggunakan sistem manual dalam menilai peserta guru berprestasi, sehingga hasilnya ada yang sama dan ada yang tidak sama dengan proses seleksi manualnya. pengujian sistem ini menggunakan data nilai dari 10 guru yang perangkingannya dibagi menurut kelompok sekolah menengah kejuruan dan sma. dari beberapa ujicoba yang telah dilakukan untuk menentukan guru berprestasi hasil yang jauh lebih cepat, lebih akuntabel dan lebih cepat. - hasil perangkingana - penilaian yang lebih baik, lebih akurat - guru.",ai
"SIMETRIS (Jurnal Teknik Mesin, Elektro dan Ilmu Komputer) UMK (IndoT5 Parafrase)",2014,"untuk mendapatkan ekstraksi ciri dan metode pengenalan yang optimal, dalam uji coba dan analisis tersebut, diperlukan sampel data offline atau data yang sudah disimpandirekam sebelumnya, sehingga diperlukan aplikasi untuk dapat merekam data (recording) dan memantau data dari sensor yang dipasang pada sarung tangan. dengan adanya data sensor tersebut, proses pemilihan ekstraksi karakteristik dan metode pengenal yang optimal dapat dilakukan secara offline, menggunakan perangkat lunak komputasi. - data sensor yang dimonitoring dan direkam adalah data raw, sehingga perlu dilakukan pengolahan data untuk proses ekstraksi ciri, dengan menggunakan perangkat lunak komputasi. (c) ( oct) a yang optimal (t). untuk tujuan.",ai
"SIMETRIS (Jurnal Teknik Mesin, Elektro dan Ilmu Komputer) UMK",2017,"artikel ini mempresentasikan evaluasi performansi tungku anil (annealing furnace) pada produksi aluminium foil dikarenakan mayoritas cacat produk bersumber pada proses anil. selain itu, pengendalian proses statistik menggunakan skema ewma dan cusum telah diimplementasikan untuk mengevaluasi kualitas proses secara keseluruhan pada produksi aluminium foil. studi berbasis computational fluid dynamic (cfd) telah dilakukan untuk mengevaluasi distribusi temperatur dan aliran udara di dalam tungku anil. tungku anil dengan model inlet-outlet udara panas dari samping yang diinvestigasi pada artikel ini menunjukkan distribusi temperatur yang homogen, tetapi terdapat beberapa volume dimana aliran udara mengalami saturasi dan dapat menyebabkan penjebakan uap minyak pendingin pada proses sebelumnya",human
JIP (Jurnal Informatika Polinema) (IndoT5 Parafrase),2017,"soft-comuting adalah kegiatan perjalanan yang dilakukan oleh seseorang atau sekelompok orang yang mengunjungi suatu tempat untuk tujuan tertentu, seperti rekreasi atau mempelajari keunikan daya tarik wisata yang dikunjungi, dengan menggunakan algoritma genetika, yang sering digunakan untuk menyelesaikan masalah optimasi dengan menggunakan konsep evolusi biologis dan menghasilkan output berupa kombinasi jalur rute perjalanan. sistem ini dapat digunakan untuk membantu wisatawan domestik dan manca negara dalam mengenal kota batu untuk solusi pencarian rute wisata. rute terpendek perjalanan wisata kota batu dapat dimanfaatkan pada permasalah tersebut. - rute perjalanan yang terpendek dapat ditemukan.",ai
EXPLORE (Jurnal Sistem Informasi dan Telematika) UBL,2017,pengiriman pesan untuk menyampaikan informasi sering dilakukan oleh banyak manusia dalam kemajuan teknologi saat ini. sehingga penelitian ini dilakukan untuk menghindari terjadinya pencurian maupun sabotase informasi pesan yang dilakukan antara dua belah pihak dan tidak terbaca oleh orang yang tidak diinginkan. kemudian dalam penelitian ini menggunakan teknik steganografi end of file yang dimana pesan rahasia akan disisipkan pada media citra digital berformat jpg. namun menyisipkan pada akhir suatu file citra tersebut. hasil dari penelitian ini akan menghasilkan stego image yang tidak berubah secara signifikan serta proses pengambilan pesan yang relative cepat sehingga menjadikan alternatif pengiriman pesan agar terhindar dari pencurian,human
Jurnal INFOTEL IT Telkom (IndoT5 Parafrase),2017,"untuk melakukan prediksi harga saham, banyak provider yang menyediakan data historis harga saham secara gratis, namun tidak semuanya gratis, tetapi ada kelemahan, yaitu bahwa analisis teknikal dapat memberikan gambaran yang lebih luas tentang tren pergerakan harga dengan membandingkan hasil analisis untuk setiap sumber data, dengan data dari keempat sumber data yang terintegrasi. dan sebagai hasilnya, investor perlu mengambil data dari beberapa penyedia data yang tidak terstruktur atau memiliki kolom yang berbeda-beda. ( 1 ), masing-masing provide data tersebut pada setiap sumber data historis harga saham. - ( 2 ) - data yang relevansi data yang sesuai dengan data historis harga",ai
Jurnal INFOTEL IT Telkom (IndoT5 Parafrase),2017,"untuk klasifikasi dokumen, digunakan metode support vector machine (svm) untuk multikelas, svm dipilih karena dianggap memiliki reputasi yang baik dalam klasifikasi, penggunaan ringkasan sebagai seleksi fitur dalam klasifikasi dokumen. hasil pengujian metode klasifikasi menunjukkan bahwa penggunaan metode na ve bayes multinomial (nbm) menghasilkan akurasi yang lebih baik daripada metode s vm. yang lebih tinggi dari pada metode svm. - metode ) metode sv nbm (m) (d).",ai
Jurnal COREIT UIN SUSKA (IndoT5 Parafrase),2015,"knn adalah salah satu metode klasifikasi teks yang biasa digunakan oleh pengguna yang berinteraksi dengan sekumpulan dokumen menggunakan tools analisis yang merupakan komponen dalam data mining, dalam penelitian ini mencoba untuk menjadikan fingerprint sebagai ciri suatu dokumen teks, lalu mengklasifikasikan dokumen teks berdasarkan ciri tersebut. proses klasifikasi dimulai dengan mengumpulkan dokumen latih yang akan dijadikan sebagai acuan dalam pengelompokan dokumen, dokumen uji yang ingin dikelompokkan juga harus melewati proses winnowing, setelah itu dilanjutkan dengan proses klasifikasi menggunakan metode knn. dari hasil pengujian terhadap 10 dokumen uji diperoleh nilai akurasi pengelompokan 80. kemudian dilakukan dengan metode (f) - dari masing- yang",ai
"SIMETRIS (Jurnal Teknik Mesin, Elektro dan Ilmu Komputer) UMK",2017,"kebutuhan akan energi listrik menjadi kebutuhan primer nasional. dalam keberlangsungan proses produksi energi listrik pada pembangkitan pembangkitan diperlukan energi listrik untuk pemakaian sendiri. dalam penelitian ini dibangun sebuah aplikasi sistem cerdas untuk memprediksi energi listrik pemakaian sendiri di pt indonesia power sub unit plta wonogiri. pada penelitian ini menggunakan 2 kelompok input, yaitu input fis (fuzzy inference system) dan input pada nn (neuro fuzzy). input data merupakan data produksi harian energi listrik di plta wonogiri selama kurun waktu 2010 2016. variabel data yang digunakan dalam penelitian ini adalah data produksi listrik untuk pemakaian plta wonogiri adalah energi listrik yang dihasilkan",human
Jurnal INFOTEL IT Telkom,2017,keberhasilan suatu misi satelit nano sangat bergantung kepada keandalan electrical power system (eps) untuk menjaga subsistem-subsistem pada satelit nano agar tetap berfungsi. oleh karena itu dibutuhkan sebuah pengendalian distribusi daya yang efektif. penelitian ini menjelaskan tentang bagaimana cara pendistribusian daya listrik yang efektif dan sesuai dengan kondisi satelit nano ketika terkena sinar matahari atau ketika kondisi gelap pada saat mengorbit diluar angkasa. untuk menjelaskan hal tersebut dilakukan simulasi dan analisis pada perancangan modul power management eps yang terdiri dari rangkaian boost converter lt3757 dan battery charger ic lt3652. hasil simulasi menunjukan bahwa pada saat kondisi terang sistem akan mencatu daya,human
Jurnal Komputer Terapan PCR (IndoT5 Parafrase),2015,"visual effect adalah pemberian efek visual tertentu ke dalam film yang bertujuan untuk menciptakan adegan yang realistis dan menarik, pembuatan alur pada bagian pengenalan cerita yang menarik menghasilkan 26 scene dalam 1 sequance berformat. mpeg yang berdurasi 7 menit 34 detik, berdasarkan hasil pengujian terhadap 100 responden dengan menggunakan skala likert, disimpulkan bahwa film pendek ini mampu menarik minat responden untuk menonton dan menunggu kelanjutan dari film pendek tersebut. oleh karena itu penulis mengembangkan film pendek dengan judul eyes for eyes. ( 1 ) (1) ) - (2) - film pendek (3), dan menarik. dan membuat film pendek, dan pengenalan",ai
"SIMETRIS (Jurnal Teknik Mesin, Elektro dan Ilmu Komputer) UMK",2017,"saat ini teknik kriptografi hill cipher telah diimplementasikan untuk beberapa aplikasi. dalam implementasinya ada saja kesalahan atau kecerobohan seperti kunci matriks yang digunakan pada proses enkripsi hilang karena tidak disimpan atau bahkan lupa. oleh sebab itu diperlukan teknik kriptanalisis untuk mendapatkan kembali kunci yang hilang tersebut. teknik kriptanalisis pada kriptografi hill cipher yang telah diketahui adalah dengan menggunakan persamaan linier dan menggunakan perkalian matriks. pada persamaan linier, nilai dari masing-masing variabel matriks kunci dapat diketahui, namun proses pencarian nilai pada tiap variabel tersebut tidak dapat dilakukan dalam waktu yang singkat. sedangkan pada perkalian matriks, proses pencarian variabel matriks kunci hanya",human
ILKOM Jurnal Ilmiah UMI Makassar,2016,"distributed denial-of-service (ddos) merupakan jenis serangan dengan volume, intensitas, dan biaya mitigasi yang terus meningkat seiring berkembangnya skala organisasi. penelitian ini memiliki tujuan untuk mengembangkan sebuah pendekatan baru untuk mendeteksi serangan ddos, berdasarkan log jaringan yang dianalisis secara statistik dengan fungsi neural network sebagai metode deteksi. data pelatihan dan pengujian diambil dari caida ddos attack 2007 dan simulasi mandiri. pengujian terhadap metode analisis statistik terhadap log jaringan dengan fungsi neural network sebagai metode deteksi menghasilkan prosentase rata-rata pengenalan terhadap tiga kondisi jaringan (normal, slow ddos, dan ddos) sebesar 90,52. adanya pendekatan baru dalam mendeteksi serangan ddos, diharapkan bisa menjadi sebuah",human
EXPLORE (Jurnal Sistem Informasi dan Telematika) UBL,2017,"teknologi merupakan keniscahyaan di era modern ini karena dengan adanya teknologi kegiatan manusia dapat dipermudah salah satu contohnya adalah e-commerce. e-commerce merupakan salah satu jenis website yang bertujuan untuk menjual satu atau lebiih produk dan jasa dengan mengunakan internet. transaksi pada website e-commerce atau toko online dapat dilakukan dengan cara langsung pada website tersebut dengan menggunakan kartu kredit atau layanan perbankan online. data menurut majalah marketing edisi 08xivagustus2014, wsj, event veritrans riset of e-commerce pengguna internet di indonesia sekitar 82 juta pengguna dan 7 menggunakan e-commerce untuk transkasi onlinenya. pertumbuhan website jual beli online pun semakin meningkat. dari data tersebut",human
Jurnal Komputer Terapan PCR,2017,"perkembangan sistem transportasi terutama transportasi darat di indonesia sangat pesat. pesatnya perkembangan sistem transportasi darat di indonesia harus didukung infrastruktur-infrastruktur yang memadai. salah satu infrastruktur yang paling penting adalah jalan. permasalahan yang sering terjadi akibat banyaknya alat transportasi darat, yaitu banyak ditemukan lubang-lubang pada jalan.untuk dapat mendeteksi keberadaan lubang pada citra jalan dapat dilakukan secara komputasi, yaitu dengan menggunakan jaringan syaraf tiruan. penelitian ini mengimplementasikan metode jaringan syaraf tiruan backpropagation dan pengolahan citra digital. dari hasil pengujian menghasilkan teknik yang digunakan ini mampu mendeteksi lubang pada citra jalan raya. nilai laju pembelajaran dan jumlah data pelatihan mempengaruhi hasil dari dateksi.",human
JIP (Jurnal Informatika Polinema) (IndoT5 Parafrase),2017,"jerawat adalah penyakit kulit yang cukup besar jumlah penderitanya, sistem yang dirancang dan diimplementasikan berbasis dekstop, menggunakan bahasa pemrograman visual basic, dan basis data xampp, dengan 7 penyakit, 32 gejala penyakit dan 18 tindakan pengobatan penyakit, menghasilkan persentase sebesar 83. 3, yang menunjukkan bahwa aplikasi sistem pakar ini cukup efektif. dan juga telah diuji dan divalidasi oleh pakar dan beberapa pengguna. ( 1 ) dari aplikasi tersebut dapat digunakan. - aplikasi sistem ini memiliki aplikasi yang cukup banyak aplikasi yang sangat penting untuk aplikasi.",ai
"SIMETRIS (Jurnal Teknik Mesin, Elektro dan Ilmu Komputer) UMK (IndoT5 Parafrase)",2015,"penelitian ini bertujuan untuk menghasilkan sistem informasi penggajian karyawan yang terkomputerisasi, dimana sistem informasi gaji karyawan yang sudah terkomputerisasikan ini dapat memberikan kemudahan dalam pelayanan dan penyajian informasi, meningkatkan kinerja dan pengolahan data menjadi lebih baik, tepat, cepat dan tepat, serta mempercepat dalam pembuatan laporan gaji karyawan. peningkatan kinerja kerja tidak terlepas dari sarana dan sarana, salah satunya adalah dukungan teknologi dan sistem informasi yang sesuai dengan kebutuhan, yang dapat diproses dan diproses sehingga menghasilkan informasi yang diperlukan untuk mendukung keputusan yang baik. keputusan tersebut harus dibuat secara cepat, tepat waktu dan fleksibel untuk memastikan kelancaran kegiatan sehari-hal tersebut, dan",ai
